Arttırılabilir Azami Bellek:,Bağlantı Girişleri:,Bağlantılar:,Cihaz Ağırlığı:,Dokunmatik Ekran:,Ekran Boyutu:,Ekran Kartı Bellek Tipi:,Ekran Kartı Hafızası:,Ekran Kartı Tipi:,Ekran Kartı:,Ekran Özelliği:,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,İşlemci Frekansı:,İşlemci Hızı (GHz):,İşlemci Modeli:,İşlemci Nesli:,İşlemci Tipi:,İşlemci Çekirdek Sayısı:,İşletim Sistemi:,Şarjlı Kullanım Süresi:,url,price
,,,4 kg ve Üstü,Yok,"15,6 inç",GDDR6,4 GB,Harici,Nvidia GeForce GTX1650 Ti,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,256 GB,,,1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Free Dos,,https://www.trendyol.com//lenovo/gaming-3-15imh05-i7-10750h-16gb-256gb-ssd-gtx1650ti-freedos-15-6-81y400d3tx6-p-48134995,11.999 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Paylaşımlı,HD,Distribütör Garantili,,,,Yok,RGB,Ofis - İş,Yok,,,8 GB,Gri,Yok,,,1920 x 1080,,,N3000,7. Nesil,AMD,4,Free Dos,,https://www.trendyol.com//lenovo/thinkpad-e14-20ra003utx-i5-10210u-16gb-512gb-ssd-14-w10pro-bilgisayar-p-44705965,9.899 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR5,Paylaşımlı,Yüksek Seviye Harici Ekran Kartı,Nvidia Quadro P500,4K Ultra HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,64 GB,Gri,1 TB,,,3840 x 2160,,,9880H,9. Nesil,Intel Core i9,8,Windows,,https://www.trendyol.com//lenovo/thinkpad-p53-20qn003ktx02-i9-9880h-64gb-1tb-ssd-15-6-w10pro-tasinabilir-bilgisayar-p-41632429,40.863 TL
32 GB,,HDMI,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Dahili Ekran Kartı,Full HD,Distribütör Garantili,HD Ready,,,1 GB,Numerik Tuşlu,Ofis - İş,Yok,,TN,8 GB,,256 GB,Gri,Full HD (FHD),1920 x 1080,,43497,10510U,10. Nesil,Intel Core i9,4,Windows,3 Saat ve Altı,https://www.trendyol.com//hp/probook-450-g7-8mh57ea-i7-10510u-8gb-256gb-ssd-15-6-windows-10-pro-p-41094074,"9.534,40 TL"
32 GB,,,2 - 4 kg,,"17,3 inç",,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650 Ti,,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,,,IPS,32 GB,,1 TB,,,1920 x 1080,,,10300H,10. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//casper/excalibur-g780-1030-dsj0x-intel-10-nesil-i5-1030-32gb-ram-4tb-ssd-4tb-m2-ssd-4gb-gtx1650ti-dos-p-39575012,23.569 TL
32 GB,,,2 - 4 kg,,"17,3 inç",,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650 Ti,,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,,,IPS,8 GB,,256 GB,,,1920 x 1080,,,10300H,10. Nesil,Intel Core i5,8,Windows,3 Saat ve Altı,https://www.trendyol.com//casper/excalibur-g780-1030-8uj0f-intel-10-nesil-i5-1030-8gb-ram-256gb-m2-ssd-4gb-gtx1650ti-w10-p-39574422,10.669 TL
32 GB,,,2 - 4 kg,,"15,6 inç",,8 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2070,,Distribütör Garantili,,,,1 TB,Q Türkçe,Oyun,,,IPS,32 GB,,512 GB,,,1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Windows,6 Saat ve Üstü,https://www.trendyol.com//casper/excalibur-g900-1075-d670a-intel-10-nesil-i7-1075-32gb-ram-1tb-512-ssd-8gb-rtx2070-w10-p-39574164,18.219 TL
32 GB,,,2 - 4 kg,,"15,6 inç",,8 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2070,,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,,,IPS,64 GB,,1 TB,,,1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Windows,6 Saat ve Üstü,https://www.trendyol.com//casper/excalibur-g900-1075-es70r-intel-10-nesil-i7-1075-64gb-ram-4tb-ssd-4tb-m2-ssd-8gb-rtx2070-w10pro-p-39573833,31.599 TL
32 GB,,,2 - 4 kg,,"17,3 inç",,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650 Ti,,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,,,IPS,8 GB,,240 GB,,,1920 x 1080,,,10300H,10. Nesil,Intel Core i5,8,Windows,3 Saat ve Altı,https://www.trendyol.com//casper/excalibur-g780-1030-8dj0f-intel-10-nesil-i5-1030-8gb-ram-240gb-ssd-4gb-gtx1650ti-w10-p-39573152,10.669 TL
,,Bluetooth,2 kg ve Altı,Yok,"13,3 inç",DDR4,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,Var,,500 GB,Q Türkçe,Ev - Okul,Yok,,IPS,8 GB,Siyah,Yok,,,1920 x 1080,,,7200U,7. Nesil,Intel Core i5,2,Windows,,https://www.trendyol.com//toshiba/satellite-pro-ci5-7200u-8gb-500gb-13-3-win10-p-2573572,"9.839,90 TL"
,,,2 - 4 kg,Yok,"15,6 inç",GDDR6,16 GB,Harici,Nvidia Quadro RTX 5000,4K Ultra HD,Distribütör Garantili,,,,Yok,Numerik Tuşlu Aydınlatmalı,Ofis - İş,Yok,,,64 GB,Gri,1 TB,,,3840 x 2160,,,9850H,9. Nesil,Intel Xeon,6,Windows,,https://www.trendyol.com//lenovo/20qn003xtx04-m-p53-e-2276m-128gb-ecc-1tb-ssd-1-tb-ssd-rtx5000-16gb-15-6-windows-10-pro-p-48018369,50.899 TL
,,,2 - 4 kg,Yok,14 inç,DDR4,2 GB,Harici,AMD Radeon RX 640,Full HD,Distribütör Garantili,,Var,,1 TB,Numerik Tuşlar Yok,Ofis - İş,Yok,,,32 GB,Siyah,512 GB,,,1920 x 1080,,,10510U,10. Nesil,Intel Core i7,8,Free Dos,,https://www.trendyol.com//lenovo/e14-20ras04k00a8-i7-10510u-32gb-1tb-512ssd-2gb-14-fullhd-freedos-tasinabilir-bilgisayar-p-42176851,10.999 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,Full HD,Distribütör Garantili,,Var,,256 GB,Q Türkçe,Oyun,Yok,,,8 GB,Siyah,256 GB,,,1920 x 1080,,2 - 3,3750H,Ryzen,AMD Ryzen 7,4,Windows,,https://www.trendyol.com//asus/siyah-fx505dt-bq036a14-amd-r7-3750h-8gb-256gb-ssd-gtx1650-windows-10-home-15-6-fhd-leptop-p-51415291,"10.821,49 TL"
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia Quadro T2000,4K Ultra HD,Distribütör Garantili,,,,240,Q Türkçe,Ofis - İş,Yok,,,64 GB,Gri,2 TB,,,3840 x 2160,,,9880H,9. Nesil,Intel Core i9,4,Windows,,https://www.trendyol.com//lenovo/thinkpad-mws-p1-i9-9880h-64gb-2tb-ssd-20qt003htxz8-ws10p-15-6-uhd-p-50447076,"41.995,92 TL"
,,,4 kg ve Üstü,Yok,"15,6 inç",GDDR6,4 GB,Harici,Nvidia GeForce GTX1650 Ti,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,512 GB,,,1920 x 1200,,,10750H,10. Nesil,Intel Core i7,6,Windows,,https://www.trendyol.com//lenovo/gaming-3-15imh05-i7-10750h-16gb-512gb-ssd-gtx1650ti-w10pro-15-6-81y400d3tx2-p-48104297,13.499 TL
,,Bluetooth,2 - 4 kg,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ev - Okul,Yok,,,4 GB,Gümüş,256 GB,,Full HD (FHD),1920 x 1080,,,300U,1. Nesil,AMD Athlon,2,Windows,6 Saat ve Üstü,https://www.trendyol.com//hp/15-db1084nt-amd-athlon-300u-4gb-ddr4-ram-256-ssd-15-6-windows-10-9pu75ea-p-37284694,5.899 TL
,,,2 kg ve Altı,Yok,"15,6 inç",SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,512 GB,Q Türkçe,Ofis - İş,Yok,,,12 GB,Gri,512 GB,,,1920 x 1080,,,3500U,Ryzen,AMD Ryzen 5,2,Windows,,https://www.trendyol.com//asus/d509da-ej181a14-amd-ryzen-5-3500u-12gb-512gb-ssd-w10-home-15-6-fhd-p-58702942,"8.206,13 TL"
32 GB,,,2 - 4 kg,,"17,3 inç",,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650 Ti,,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,,,IPS,32 GB,,240 GB,,,1920 x 1080,,,10300H,10. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//casper/excalibur-g780-1030-ddj0x-intel-10-nesil-i5-1030-32gb-ram-240gb-ssd-4gb-gtx1650ti-dos-p-39574042,11.069 TL
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,AMD,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,4 GB,Gri,256 GB,,,1920 x 1080,,,3250U,3. Nesil,AMD,2,Windows,,https://www.trendyol.com//lenovo/v15-ada-amd-3020e-4gb-256gb-ssd-w10home-15-6-fhd-tasinabilir-bilgisayar-82c7008gtx9-p-56872726,5.599 TL
,,,2 kg ve Altı,Yok,14 inç,DDR,Paylaşımlı,Dahili,Intel HD Graphics,Full HD,Distribütör Garantili,,Var,,Yok,Aydınlatmalı,Ofis - İş,Yok,,,32 GB,Gri,512 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Free Dos,3 Saat ve Altı,https://www.trendyol.com//lenovo/thinkpad-e14-intel-i5-10210u-32gb-512gb-ssd-freedos-dizustu-bilgisayar-20ra005ftxt7-p-56515471,9.299 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR6,8 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia Quadro RTX 5000,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,32 GB,Gri,2 TB,,,1920 x 1080,,,9850H,9. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//lenovo/thinkpad-p53-i7-9850h-32gb-2tb-ssd-20qn0033txz6-w10p-15-6-fhd-p-50376779,"41.115,71 TL"
,,,2 - 4 kg,Yok,"15,6 inç",DDR5,1 GB,Dahili,Dahili Ekran Kartı,Full HD,İthalatçı Garantili,,,,1 GB,Numerik Tuşlu,Ev - Okul,DVD Dual Yazıcı,,,1 GB,Bej,128 GB,,,1920 x 1080,,,1000M,3. Nesil,Intel Atom,4,Free Dos,,https://www.trendyol.com//hp/9tx21ea-340s-g7-i5-1035g1-14-fhd-8gb-ram-256gb-ssd-paylasimli-ekran-karti-free-dos-notebook-p-50608418,6.869 TL
,,Bluetooth,2 kg ve Altı,Var,"13,3 inç",GDDR5,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,QHD,İthalatçı Garantili,,,,Yok,Q İngilizce,Ofis - İş,Yok,,,16 GB,Altın,256 GB,,,2880 x 1800,,,1065G7,7. Nesil,Intel Core i7,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//microsoft/surface-book-3-tablet-core-i7-win-10-pro-16gb-ram-256gb-ssd-13-5-gtx-1650-p-47112303,21.999 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR6,16 GB,Harici,Nvidia Quadro RTX 5000,4K Ultra HD,Distribütör Garantili,,,,Yok,Numerik Tuşlu Aydınlatmalı,Ofis - İş,Yok,,,64 GB,Gri,1 TB,,,3840 x 2160,,,9880H,9. Nesil,Intel Xeon,6,Windows,,https://www.trendyol.com//lenovo/thinkpad-p53-20qn003xtx02-e-2276m-64gb-1tbssd-1tbssd-rtx5000-15-6-w10pro-p-43216547,47.699 TL
,,,2 kg ve Altı,Var,"13,3 inç",DDR3,Paylaşımlı,Dahili,Dahili Ekran Kartı,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,IPS,16 GB,Siyah,512 GB,,Full HD (FHD),1920 x 1080,3.00 GHz üstü,3 - 4,1065G7,10. Nesil,Intel Core i7,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//dell/xps-7390-2in1-2fts65wp165n-i7-1065g7-16gb-512gb-ssd-13-4-windows-10-pro-bilgisayar-p-38872904,16.589 TL
,,,2 kg ve Altı,Yok,"15,6 inç",GDDR5,4 GB,Harici,AMD,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/20sm009gtx-i5-1035g1-8gb-256gb-ssd-15-6-radeon-630-ekran-karti-freedos-p-66031927,7.399 TL
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,AMD,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,4 GB,Gri,256 GB,,,1920 x 1080,,,3250U,3. Nesil,AMD,2,Free Dos,,https://www.trendyol.com//lenovo/v15-ada-amd-3020e-4gb-256gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82c7008gtx6-p-56872935,5.099 TL
,HDMI,Bluetooth,2 - 4 kg,Yok,"15,6 inç",GDDR6,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2060,Full HD,Casper Türkiye Garantili,,Var,,1 TB,Q Türkçe,Oyun,Yok,,IPS,16 GB,,120 GB,,Full HD (FHD),1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Free Dos,,https://www.trendyol.com//casper/excalibur-g900-1075-b160x-d-intel-10-nesil-i7-10750h-16gb-ram-1tb-120gb-ssd-6gb-rtx2060-dos-p-51860402,14.779 TL
16 GB,,,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Dahili Ekran Kartı,Full HD,Distribütör Garantili,,,,1 GB,Numerik Tuşlar Yok,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,Full HD (FHD),1920 x 1080,,,10510U,10. Nesil,Intel Core i7,4,Free Dos,3 Saat ve Altı,https://www.trendyol.com//lenovo/thinkpad-e14-20ra005ctx-i7-10510u-8gb-256gb-ssd-14-freedos-p-37680628,"8.674,99 TL"
,,,2 kg ve Altı,Yok,14 inç,GDDR5,Paylaşımlı,Dahili,Dahili Ekran Kartı,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,Yok,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/e14-20ra005dtx-intel-ci5-10210u-8gb-1tb-fdos-14-fhd-p-49715297,"7.599,99 TL"
,,,2 - 4 kg,Var,14 inç,SD,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,,,Yok,Aydınlatmalı,Ofis - İş,Yok,,,16 GB,Gri,1 TB,,,1920 x 1080,,,10510U,10. Nesil,Intel Core i7,8,Free Dos,,https://www.trendyol.com//lenovo/thinkpad-t14s-20s000tmtx01-i7-10510u-16gb-1tb-ssd-14-fhd-touch-freedos-tasinabilir-pc-p-52824702,10.449 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,4 GB,Harici,Nvidia GeForce GTX1650 Ti,Full HD,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,Yok,,,32 GB,Gri,1 TB,,,1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Windows,,https://www.trendyol.com//lenovo/ip-gaming-3-15imh05-intel-core-i7-10750h-32gb-1tb-ssd-gtx1650ti-w10-home-15-6-d3txa11-p-53599592,"16.567,18 TL"
,HDMI,Bluetooth,2 - 4 kg,Yok,"15,6 inç",GDDR6,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2060,Full HD,Casper Türkiye Garantili,,Var,,1 TB,Q Türkçe,Oyun,Yok,,IPS,32 GB,,500 GB,,Full HD (FHD),1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Free Dos,,https://www.trendyol.com//casper/excalibur-g900-1075-d660x-d-intel-10-nesil-i7-10750h-32gb-ram-1tb-500gb-nvme-ssd-6gb-rtx2060-dos-p-51644805,15.799 TL
,,,2 kg ve Altı,,14 inç,,,Dahili,Intel UHD Graphics 620,,Distribütör Garantili,,,,256 GB,,Oyun,DVD Yazıcı,,,8 GB,Siyah,256 GB,,Full HD (FHD),1920 x 1080,,,8665U,8. Nesil,Intel Core i7,4,Windows,,https://www.trendyol.com//dell/latitude-7400-i7-8665u-8gb-256gb-ssd-14-windows-10-pro-p-31832716,13.299 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,Full HD,Distribütör Garantili,,Var,,1 TB,Q Türkçe,Oyun,Yok,,,16 GB,Siyah,1 TB,,,1920 x 1080,,2 - 3,3750H,Ryzen,AMD Ryzen 7,4,Windows,,https://www.trendyol.com//asus/siyah-fx505dt-bq036a32-amd-r7-3750h-16gb-1tb-ssd-gtx1650-windows-10-pro-15-6-fhd-leptop-p-51649093,"12.819,37 TL"
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,Full HD,Distribütör Garantili,,Var,,512 GB,Q Türkçe,Oyun,Yok,,,32 GB,Siyah,512 GB,,,1920 x 1080,,2 - 3,3750H,Ryzen,AMD Ryzen 7,4,Windows,,https://www.trendyol.com//asus/fx505dt-bq036a33-amd-r7-3750h-32gb-512gb-ssd-gtx1650-windows-10-pro-15-6-fhd-dizustu-bilgisayar-p-51646392,"12.907,55 TL"
32 GB,,Bluetooth,2 - 4 kg,Yok,14 inç,DDR3,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,Var,1 TB,1 TB,Q Türkçe,Ofis - İş,Yok,,IPS,16 GB,Gri,512 GB,,Full HD (FHD),1920 x 1080,,1 - 2,10210U,10. Nesil,Intel Core i5,4,Windows,4 - 6 Saat,https://www.trendyol.com//lenovo/e14-inteli5-10210u-16gb-1tb-512ssd-w10p-20ras04c00t6-dizustu-bilgisayar-p-42027527,"9.249,99 TL"
,,,2 kg ve Altı,Yok,"15,6 inç",DDR4,Paylaşımlı,Dahili,Intel HD Graphics,Full HD,Distribütör Garantili,,,,Yok,Numerik Tuşlu,Ev - Okul,Yok,,,8 GB,Siyah,480 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//technopc/t15-10824-intel-i15-10210u-8gb-240gb-ssd-notebook-w10-home-dizustu-bilgisayar-p-54601139,6.999 TL
,HDMI,Bluetooth,2 - 4 kg,Yok,"15,6 inç",GDDR6,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2060,Full HD,Casper Türkiye Garantili,,Var,,1 TB,Q Türkçe,Oyun,Yok,,IPS,32 GB,,1 TB,,Full HD (FHD),1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Windows,,https://www.trendyol.com//casper/excalibur-g900-1075-d760r-d-intel-10-nesil-i7-10750h-32gb-ram-1tb-1tb-ssd-6gb-rtx2060-w10pro-p-51737200,17.489 TL
,,,2 kg ve Altı,Yok,14 inç,DDR,Paylaşımlı,Dahili,Paylaşımlı,Full HD,Distribütör Garantili,,Var,,1 TB,Aydınlatmalı,Ofis - İş,Yok,,,32 GB,Siyah,512 GB,,,1920 x 1080,,,10510U,10. Nesil,Intel Core i7,4,Windows,3 Saat ve Altı,https://www.trendyol.com//lenovo/thinkpad-e14-intel-i7-10510u-32gb-1tb-512gb-ssd-win10-pro-dizustu-bilgisayar-20ra005ctxt25-p-56481704,12.999 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,4 GB,Harici,Nvidia GeForce GTX1650,Full HD,Distribütör Garantili,,,,512 GB,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,512 GB,,,1920 x 1080,,,10300H,10. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//lenovo/ip-gaming-3-intel-core-i5-10300h-16gb-512gb-ssd-gtx1650-freedos-15-6-fhd-datxa2-p-55239716,"11.225,97 TL"
,,,2 - 4 kg,Yok,"15,6 inç",GDDR5,4 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce GTX1650,Full HD,Distribütör Garantili,,Var,1 TB,512 GB,Q Türkçe,Oyun,Yok,,,32 GB,Siyah,512 GB,,,1920 x 1080,,2 - 3,3750H,Ryzen,AMD Ryzen 7,4,Windows,,https://www.trendyol.com//asus/fx505dt-bq036a26-amd-r7-3750h-32gb-1tb-512gb-ssd-gtx1650-windows-10-home-15-inch-fhd-laptop-p-51682834,"13.031,71 TL"
,HDMI,Bluetooth,2 - 4 kg,Yok,"15,6 inç",GDDR6,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2060,Full HD,Casper Türkiye Garantili,,Var,,Yok,Q Türkçe,Oyun,Yok,,IPS,32 GB,,480 GB,,Full HD (FHD),1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Free Dos,,https://www.trendyol.com//casper/excalibur-g900-1075-de60x-d-intel-10-nesil-i7-10750h-32gb-ram-480gb-ssd-6gb-rtx2060-dos-p-51677291,15.319 TL
32 GB,,,2 - 4 kg,Yok,"15,6 inç",DDR4,4 GB,Yüksek Seviye Harici Ekran Kartı,AMD Radeon 520,Full HD,Distribütör Garantili,,Var,,1 TB,Q Türkçe,Oyun,Yok,,,32 GB,Gümüş,256 GB,,,1920 x 1200,,,8650U,8. Nesil,Intel Core i7,8,Windows,,https://www.trendyol.com//dell/inspiron-3580-i7-8565u-32gb-1tb-256gb-ssd-radeon-m520-win10-bilgisayar-p-50924106,25.999 TL
,,,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB ve altı,Harici,Nvidia Quadro T1000,QHD,Distribütör Garantili,,,,Yok,Aydınlatmalı,Ofis - İş,Yok,,,16 GB,Siyah,256 GB,,,1920 x 1200,,,10710U,10. Nesil,Intel Xeon,8,Windows,,https://www.trendyol.com//dell/precision-m5550-w-10855m-16gb-256gb-ssd-t1000-w10pro-15-6-fhd-tasinabilir-is-istasyonu-p-48882758,24.987 TL
32 GB,,,2 - 4 kg,,"15,6 inç",,8 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2070,,Distribütör Garantili,,,,Yok,Q Türkçe,Oyun,,,IPS,16 GB,,1 TB,,,1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//casper/excalibur-g900-1075-bs70x-intel-10-nesil-i7-10750h-16gb-ram-4tb-ssd-4tb-m2-ssd-8gb-rtx2070-dos-p-39574691,28.629 TL
,,,2 kg ve Altı,Yok,14 inç,DDR4,Paylaşımlı,Dahili,Intel UHD Graphics 600,Full HD,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Gri,256 GB,,,1920 x 1080,,,8565U,8. Nesil,Intel Core i7,2,Windows,,https://www.trendyol.com//lenovo/asus-p5440fa-bm12355-intel-core-i7-8565u-8-gb-256-gb-ssd-14-w10-pro-p-57131113,9.840 TL
,,,2 kg ve Altı,Yok,14 inç,GDDR5,Paylaşımlı,Dahili,Intel HD Graphics 620,Full HD,Distribütör Garantili,,Var,,1 TB,Q Türkçe,Ofis - İş,Yok,,IPS,16 GB,Gri,256 GB,,Full HD (FHD),1920 x 1080,,1 - 2,10510U,10. Nesil,Intel Core i7,4,Windows,4 - 6 Saat,https://www.trendyol.com//lenovo/e14-i7-10510u-16gb-1tb-256gb-ssd-20ra005ctxz65-w10p-14-fhd-p-55797191,"11.129,04 TL"
,,,2 kg ve Altı,Yok,"13,3 inç",DDR5,Paylaşımlı,Dahili,Intel HD Graphics,Full HD,Distribütör Garantili,,,,512 GB,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,512 GB,,,1920 x 1080,,,10210U,10. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//lenovo/l13-intel-core-i5-10210u-8gb-512gb-ssd-windows-10-pro-13-3-20r3s0qf00-bilgisayar-p-55312471,10.419 TL
,,,2 - 4 kg,Yok,"15,6 inç",DDR5,Paylaşımlı,Dahili,AMD Radeon Vega 10,Full HD,Distribütör Garantili,,,,Yok,Numerik Tuşlu Aydınlatmalı,Ofis - İş,Yok,,,40 GB,Gri,512 GB,,,1920 x 1080,,,4405U,Ryzen,AMD Ryzen 7,4,Free Dos,,https://www.trendyol.com//lenovo/thinkpad-l15-amd-r7-pro-4750u-40gb-512gb-ssd-20u7001ytxz15-dos-15-6-fhd-p-54735372,"10.403,64 TL"
,,,2 kg ve Altı,Yok,14 inç,GDDR5,2 GB,Harici,Nvidia GeForce MX330,Full HD,Distribütör Garantili,,,,Yok,Aydınlatmalı,Ev - Okul,Yok,,,8 GB,Gri,1 TB,,,1920 x 1080,,,1035G1,10. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//dell/vostro-5401-n4105bpvn5401emew03-i5-1035g1-8gb-1tbssd-2gb-w10p-14-fhd-nb-dizustu-bilgisayar-p-51791042,8.399 TL
,HDMI,Bluetooth,2 - 4 kg,Yok,"15,6 inç",GDDR6,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 2060,Full HD,Casper Türkiye Garantili,,Var,,Yok,Q Türkçe,Oyun,Yok,,IPS,16 GB,,240 GB,,Full HD (FHD),1920 x 1080,,,10750H,10. Nesil,Intel Core i7,6,Free Dos,,https://www.trendyol.com//casper/excalibur-g900-1075-bd60x-d-intel-10-nesil-i7-10750h-16gb-ram-240gb-ssd-6gb-rtx2060-dos-bilgisayar-p-51677955,14.509 TL
,,,2 kg ve Altı,Yok,"13,3 inç",DDR2,3 GB,Yüksek Seviye Harici Ekran Kartı,AMD Radeon 620,Full HD,Distribütör Garantili,,,,2 GB,F Klavye,Ofis - İş,DVD Super Multi,,,1 GB,Beyaz,250 GB,,,1366 x 768,,,2430M,5. Nesil,AMD,8,Free Dos,,https://www.trendyol.com//lenovo/20sm007atx-i7-1065g7-16gb-1t-256g-15-6-dos-dizustu-bilgisayar-p-48341352,9.129 TL
